"site","strain","block","area"
"pat","pat.C","a",5.071
"pat","pat.C","a",4.1
"pat","pat.C","a",3.939
"pat","pat.C","b",5.434
"pat","pat.C","b",4.886
"pat","pat.C","b",4.924
"pat","pat.C","b",4.714
"pat","pat.C","b",4.672
"skf","skf.B","a",5.523
"skf","skf.B","a",4.501
"skf","skf.B","a",4.963
"skf","skf.B","a",4.651
"skf","skf.B","a",4.794
"skf","skf.B","b",4.779
"skf","skf.B","b",5.235
"skf","skf.B","b",5.882
"skf","skf.B","b",6.207
"skf","skf.B","b",4.546
"skf","skf.C","a",5.561
"skf","skf.C","a",5.73
"skf","skf.C","a",5.782
"skf","skf.C","a",5.336
"skf","skf.C","a",5.213
"skf","skf.C","b",6.717
"skf","skf.C","b",5.954
"skf","skf.C","b",5.397
"skf","skf.C","b",5.75
"skf","skf.C","b",5.77
"slv","slv.A","a",5.033
"slv","slv.A","a",5.738
"slv","slv.A","a",6.116
"slv","slv.A","a",6.052
"slv","slv.A","a",6.247
"slv","slv.A","b",4.758
"slv","slv.A","b",5.732
"slv","slv.A","b",6.02
"slv","slv.A","b",5.755
"slv","slv.A","b",5.434
"slv","slv.B","a",5.895
"slv","slv.B","a",6.14
"slv","slv.B","a",5.29
"slv","slv.B","a",4.566
"slv","slv.B","a",6.033
"slv","slv.B","b",5.839
"slv","slv.B","b",5.878
"slv","slv.B","b",5.914
"slv","slv.B","b",5.537
"slv","slv.B","b",4.446
"slv","slv.C","a",4.388
"slv","slv.C","a",6.13
"slv","slv.C","a",5.05
"slv","slv.C","a",5.667
"slv","slv.C","a",5.99
"slv","slv.C","b",5.992
"slv","slv.C","b",5.027
"slv","slv.C","b",5.369
"slv","slv.C","b",6.226
"slv","slv.C","b",4.752
"stn","stn.A","a",5.579
"stn","stn.A","a",6.133
"stn","stn.A","a",4.896
"stn","stn.A","a",5.953
"stn","stn.A","a",5.774
"stn","stn.A","b",5.586
"stn","stn.A","b",5.184
"stn","stn.A","b",5.534
"stn","stn.A","b",5.66
"stn","stn.A","b",5.497
"stn","stn.B","a",6.176
"stn","stn.B","a",5.815
"stn","stn.B","a",5.989
"stn","stn.B","a",5.507
"stn","stn.B","a",5.536
"stn","stn.B","b",5.66
"stn","stn.B","b",5.946
"stn","stn.B","b",6.179
"stn","stn.B","b",5.476
"stn","stn.B","b",5.911
"stn","stn.C","a",3.7
"stn","stn.C","a",3.285
"stn","stn.C","a",3.633
"stn","stn.C","a",3.381
"stn","stn.C","b",3.8
"stn","stn.C","b",4.327
"stn","stn.C","b",4.301
"tay","tay.A","a",6.6
"tay","tay.A","a",6.715
"tay","tay.A","a",6.015
"tay","tay.A","a",5.926
"tay","tay.A","a",5.984
"tay","tay.A","b",6.167
"tay","tay.A","b",5.123
"tay","tay.A","b",5.639
"tay","tay.A","b",5.318
"tay","tay.A","b",5.866
"tay","tay.B","a",4.45
"tay","tay.B","a",4.826
"tay","tay.B","a",4.428
"tay","tay.B","a",4.2
"tay","tay.B","a",4.834
"tay","tay.B","b",4.193
"tay","tay.B","b",4.082
"tay","tay.C","a",3.328
"tay","tay.C","a",3.628
"tay","tay.C","a",3.03
"tay","tay.C","a",3.342
"tay","tay.C","a",4.123
"tay","tay.C","b",4.451
"tay","tay.C","b",4.445
"tay","tay.C","b",3.635
"tay","tay.C","b",3.898
"tay","tay.C","b",3.178
"val","val.A","a",5.883
"val","val.A","a",5.243
"val","val.A","a",4.865
"val","val.A","a",4.095
"val","val.A","a",5.478
"val","val.A","b",4.895
"val","val.A","b",4.599
"val","val.A","b",5.316
"val","val.A","b",6.101
"val","val.A","b",5.118
"val","val.B","a",6.497
"val","val.B","a",6.261
"val","val.B","a",5.935
"val","val.B","a",5.827
"val","val.B","a",6.144
"val","val.B","b",4.784
"val","val.B","b",6.328
"val","val.B","b",6.779
"val","val.B","b",6.362
"val","val.B","b",6.827
"val","val.C","a",6.833
"val","val.C","a",6.004
"val","val.C","a",6.168
"val","val.C","a",6.463
"val","val.C","a",5.476
"val","val.C","b",6.5
"val","val.C","b",5.846
"val","val.C","b",6.274
"val","val.C","b",6.344
"val","val.C","b",6.88
"wan","wan.A","a",4.952
"wan","wan.A","a",3.738
"wan","wan.A","a",5.405
"wan","wan.A","a",5.465
"wan","wan.A","a",5.426
"wan","wan.A","b",5.313
"wan","wan.A","b",5.531
"wan","wan.A","b",5.176
"wan","wan.A","b",5.497
"wan","wan.A","b",5.356
"wan","wan.B","a",4.765
"wan","wan.B","a",5.288
"wan","wan.B","a",5.364
"wan","wan.B","a",4.635
"wan","wan.B","a",5.106
"wan","wan.B","b",5.056
"wan","wan.B","b",4.385
"wan","wan.B","b",5.257
"wan","wan.B","b",4.94
"wan","wan.B","b",4.784
"wan","wan.C","a",4.641
"wan","wan.C","a",5.208
"wan","wan.C","a",4.558
"wan","wan.C","a",4.763
"wan","wan.C","a",5.221
"wan","wan.C","b",5.26
"wan","wan.C","b",5.148
"wan","wan.C","b",5.403
"wan","wan.C","b",4.658
"wan","wan.C","b",4.795
"wht","wht.A","a",6.691
"wht","wht.A","a",6.706
"wht","wht.A","a",6.065
"wht","wht.A","a",6.235
"wht","wht.A","a",6.138
"wht","wht.A","b",5.619
"wht","wht.A","b",6.249
"wht","wht.A","b",6.373
"wht","wht.A","b",5.787
"wht","wht.A","b",5.808
"wht","wht.B","a",6.772
"wht","wht.B","a",5.347
"wht","wht.B","a",6.362
"wht","wht.B","a",6.83
"wht","wht.B","a",4.984
"wht","wht.B","b",6.133
"wht","wht.B","b",6.095
"wht","wht.B","b",5.297
"wht","wht.B","b",4.813
"wht","wht.B","b",6.514
"wht","wht.C","a",6.538
"wht","wht.C","a",6.53
"wht","wht.C","a",7.072
"wht","wht.C","a",4.811
"wht","wht.C","a",6.62
"wht","wht.C","b",6.847
"wht","wht.C","b",6.934
"wht","wht.C","b",6.611
"wht","wht.C","b",7.155
"wht","wht.C","b",6.237
"win","win.A","a",4.432
"win","win.A","a",5.126
"win","win.A","a",4.881
"win","win.A","a",5.649
"win","win.A","a",5.042
"win","win.A","b",5.947
"win","win.A","b",5.636
"win","win.A","b",5.822
"win","win.A","b",5.336
"win","win.A","b",5.959
"win","win.B","a",5.643
"win","win.B","a",4.876
"win","win.B","a",4.838
"win","win.B","a",5.161
"win","win.B","a",4.826
"win","win.B","b",4.63
"win","win.B","b",3.904
"win","win.B","b",4.495
"win","win.B","b",4.7
"win","win.B","b",4.619
"win","win.C","a",6.052
"win","win.C","a",6.961
"win","win.C","a",6.036
"win","win.C","a",6.581
"win","win.C","a",7.173
"win","win.C","b",6.376
"win","win.C","b",5.205
"win","win.C","b",6.747
"win","win.C","b",7.025
"win","win.C","b",5.563
"yng","yng.A","a",6.1
"yng","yng.A","a",6.327
"yng","yng.A","a",6.865
"yng","yng.A","a",6.248
"yng","yng.A","a",6.289
"yng","yng.A","b",6.221
"yng","yng.A","b",6.4
"yng","yng.A","b",5.045
"yng","yng.A","b",4.929
"yng","yng.A","b",5.711
"yng","yng.B","a",6.331
"yng","yng.B","a",6.73
"yng","yng.B","a",6.527
"yng","yng.B","a",4.702
"yng","yng.B","a",6.41
"yng","yng.B","b",5.505
"yng","yng.B","b",6.533
"yng","yng.B","b",6.487
"yng","yng.B","b",5.751
"yng","yng.B","b",6.149
"yng","yng.C","a",6.279
"yng","yng.C","a",5.095
"yng","yng.C","a",4.966
"yng","yng.C","a",6.808
"yng","yng.C","a",6.104
"yng","yng.C","b",6.293
"yng","yng.C","b",6.996
"yng","yng.C","b",6.861
"yng","yng.C","b",6.129
"yng","yng.C","b",5.836
